id,name,inserttime,validfrom,validto,sourceid,styleid,sku,listprice,url,releasedate,retiredate,framecolour,lensid,fitid,genderid,note,image,imagesmall
1240,Polished White/OO Red Iridium Polarized,2017-06-15 18:09:46,2017-06-15 22:09:46,NULL,2,606,OO9157-05,$180,http://www.o-review.com/glassesdetail.asp?ID=5872,NULL,NULL,Polished White,54,1,NULL,NULL,NULL,NULL
1241,Light/Emerald Slate Iridium,2017-06-15 18:09:49,2017-06-15 22:09:49,NULL,2,479,12-670,None,http://www.o-review.com/glassesdetail.asp?ID=2051,NULL,2006,Light,22,1,NULL,NULL,NULL,NULL
1242,Platinum - Rootbeer/Gold Iridium,2017-06-15 18:09:50,2017-06-15 22:09:50,NULL,2,648,03-722J,$155,http://www.o-review.com/glassesdetail.asp?ID=1808,2005,NULL,Platinum - Rootbeer,34,1,NULL,NULL,http://www.o-review.com/images/Jackets/Splice_Rootbeer_Gold.jpg,http://www.o-review.com/images/Jackets/small/Splice_Rootbeer_Gold.jpg
1243,Tortoise/Dark Bronze,2017-06-15 18:10:02,2017-06-15 22:10:02,NULL,2,606,OO9157-02,$110,http://www.o-review.com/glassesdetail.asp?ID=5869,NULL,NULL,Tortoise,17,1,NULL,NULL,NULL,NULL
1244,Light/G30 Titanium Iridium,2017-06-15 18:10:14,2017-06-15 22:10:14,NULL,2,479,12-671,None,http://www.o-review.com/glassesdetail.asp?ID=2052,NULL,2006,Light,31,1,NULL,NULL,NULL,NULL
1245,Black Chrome - Black/Black Iridium,2017-06-15 18:10:19,2017-06-15 22:10:18,NULL,2,649,03-721,$150,http://www.o-review.com/glassesdetail.asp?ID=4,2002,NULL,Black Chrome - Black,7,1,NULL,NULL,http://www.o-review.com/images/Jackets/Splice_BlackChrome_Black.jpg,http://www.o-review.com/images/Jackets/small/Splice_BlackChrome_Black.jpg
1246,Black/G40 Black Gradient,2017-06-15 18:10:21,2017-06-15 22:10:21,NULL,2,91,OO9132-01,$120,http://www.o-review.com/glassesdetail.asp?ID=5171,NULL,NULL,Black,95,1,NULL,NULL,NULL,NULL
1247,Light/Grey,2017-06-15 18:10:33,2017-06-15 22:10:32,NULL,2,479,11-065,None,http://www.o-review.com/glassesdetail.asp?ID=2722,1993,2003,Light,37,1,NULL,NULL,NULL,NULL
1248,Black Gunmetal - Polished Black/Emerald Iridium,2017-06-15 18:10:36,2017-06-15 22:10:36,NULL,2,649,03-725,$160,http://www.o-review.com/glassesdetail.asp?ID=5,2003,NULL,Black Gunmetal - Polished Black,20,1,NULL,NULL,http://www.o-review.com/images/Jackets/Splice_Gunmetal_Emerald.jpg,http://www.o-review.com/images/Jackets/small/Splice_Gunmetal_Emerald.jpg
1249,Crystal Turquoise/Grey,2017-06-15 18:10:40,2017-06-15 22:10:39,NULL,2,91,OO9132-02,$120,http://www.o-review.com/glassesdetail.asp?ID=5173,NULL,NULL,Crystal Turquoise,37,1,NULL,NULL,NULL,NULL
1250,Dark Chrome - Polished Black/24K Gold Iridium,2017-06-15 18:10:43,2017-06-15 22:10:42,NULL,2,649,*,$150,http://www.o-review.com/glassesdetail.asp?ID=2017,2003,NULL,Dark Chrome - Polished Black,3,1,NULL,NULL,http://www.o-review.com/images/Jackets/Splice_PolishedBlack_24K.jpg,http://www.o-review.com/images/Jackets/small/Splice_PolishedBlack_24K.jpg
1251,Light/Ice Iridium,2017-06-15 18:10:53,2017-06-15 22:10:52,NULL,2,479,05-694,$140,http://www.o-review.com/glassesdetail.asp?ID=465,NULL,2003,Light,42,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire2_Light_Ice.jpg,http://www.o-review.com/images/Wire/small/SquareWire2_Light_Ice.jpg
1252,Topaz Tortoise/Dark Bronze,2017-06-15 18:11:01,2017-06-15 22:11:01,NULL,2,91,OO9132-03,$130,http://www.o-review.com/glassesdetail.asp?ID=5172,NULL,NULL,Topaz Tortoise,17,1,NULL,NULL,NULL,NULL
1253,FMJ 5.56 - Polished Black/Fire Iridium,2017-06-15 18:11:01,2017-06-15 22:11:01,NULL,2,649,12-622,$160,http://www.o-review.com/glassesdetail.asp?ID=214,2003,2004,FMJ 5.56 - Polished Black,23,1,NULL,NULL,http://www.o-review.com/images/Jackets/Splice_FMJ_Fire.jpg,http://www.o-review.com/images/Jackets/small/Splice_FMJ_Fire.jpg
1254,Pewter/Black Iridium,2017-06-15 18:11:18,2017-06-15 22:11:17,NULL,2,479,05-695,$140,http://www.o-review.com/glassesdetail.asp?ID=466,NULL,2003,Pewter,7,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire2_Pewter_Black.jpg,http://www.o-review.com/images/Wire/small/SquareWire2_Pewter_Black.jpg
1255,FMJ+ - Crystal Blue/Ice Iridium,2017-06-15 18:11:24,2017-06-15 22:11:23,NULL,2,649,03-723,$150,http://www.o-review.com/glassesdetail.asp?ID=1,2002,NULL,FMJ+ - Crystal Blue,42,1,NULL,NULL,http://www.o-review.com/images/Jackets/Splice_FMJ_Ice.jpg,http://www.o-review.com/images/Jackets/small/Splice_FMJ_Ice.jpg
1256,Blush/G40 Black Gradient,2017-06-15 18:11:27,2017-06-15 22:11:26,NULL,2,92,OO9093-04,$130,http://www.o-review.com/glassesdetail.asp?ID=5020,NULL,NULL,Blush,95,1,NULL,NULL,NULL,NULL
1257,Pewter/Emerald Iridium,2017-06-15 18:11:36,2017-06-15 22:11:36,NULL,2,479,05-698,$150,http://www.o-review.com/glassesdetail.asp?ID=467,NULL,2004,Pewter,20,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire2_Pewter_Emerald.jpg,http://www.o-review.com/images/Wire/small/SquareWire2_Pewter_Emerald.jpg
1258,Matte Black - Crystal Black/Grey,2017-06-15 18:11:41,2017-06-15 22:11:40,NULL,2,649,03-724,$125,http://www.o-review.com/glassesdetail.asp?ID=2,2002,2003,Matte Black - Crystal Black,37,1,NULL,NULL,http://www.o-review.com/images/Jackets/Splice_CrystalBlack_Grey.jpg,http://www.o-review.com/images/Jackets/small/Splice_CrystalBlack_Grey.jpg
1259,Crystal Turquoise/Grey,2017-06-15 18:11:46,2017-06-15 22:11:46,NULL,2,92,OO9093-03,$120,http://www.o-review.com/glassesdetail.asp?ID=5019,NULL,NULL,Crystal Turquoise,37,1,NULL,NULL,NULL,NULL
1260,Platinum/Gold Iridium,2017-06-15 18:11:54,2017-06-15 22:11:53,NULL,2,479,05-676,None,http://www.o-review.com/glassesdetail.asp?ID=1162,NULL,2001,Platinum,34,1,NULL,NULL,NULL,NULL
1261,Silver/Black Iridium Polarized,2017-06-15 18:12:00,2017-06-15 22:12:00,NULL,2,479,05-681,None,http://www.o-review.com/glassesdetail.asp?ID=1099,NULL,2001,Silver,8,1,NULL,NULL,NULL,NULL
1262,Matte Black - Polished Black/H.I. Persimmon,2017-06-15 18:12:02,2017-06-15 22:12:02,NULL,2,649,12-627,$175,http://www.o-review.com/glassesdetail.asp?ID=1101,2003,2004,Matte Black - Polished Black,40,1,NULL,NULL,http://www.o-review.com/images/Jackets/Splice_Black_HIPersimmon.jpg,http://www.o-review.com/images/Jackets/small/Splice_Black_HIPersimmon.jpg
1263,Graffiti/Black-Grey Gradient,2017-06-15 18:12:05,2017-06-15 22:12:05,NULL,2,92,OO9093-02,$130,http://www.o-review.com/glassesdetail.asp?ID=5018,NULL,NULL,Graffiti,92,1,NULL,NULL,NULL,NULL
1264,Silver/Fire Iridium,2017-06-15 18:12:19,2017-06-15 22:12:18,NULL,2,479,05-680,None,http://www.o-review.com/glassesdetail.asp?ID=1159,NULL,2001,Silver,23,1,NULL,NULL,NULL,NULL
1265,Platinum - Rootbeer/Gold Iridium,2017-06-15 18:12:24,2017-06-15 22:12:24,NULL,2,649,03-722,$150,http://www.o-review.com/glassesdetail.asp?ID=3,2002,NULL,Platinum - Rootbeer,34,1,NULL,NULL,http://www.o-review.com/images/Jackets/Splice_Rootbeer_Gold.jpg,http://www.o-review.com/images/Jackets/small/Splice_Rootbeer_Gold.jpg
1266,Polished Black/G40 Black Gradient,2017-06-15 18:12:27,2017-06-15 22:12:27,NULL,2,92,OO9093-06,$130,http://www.o-review.com/glassesdetail.asp?ID=5022,NULL,NULL,Polished Black,95,1,NULL,NULL,NULL,NULL
1267,Silver/Ice Iridium,2017-06-15 18:12:40,2017-06-15 22:12:40,NULL,2,479,05-677,None,http://www.o-review.com/glassesdetail.asp?ID=1161,NULL,2001,Silver,42,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire2_Silver_Blue.jpg,http://www.o-review.com/images/Wire/small/SquareWire2_Silver_Blue.jpg
1268,Polished Black/Grey,2017-06-15 18:12:45,2017-06-15 22:12:44,NULL,2,92,OO9093-01,$120,http://www.o-review.com/glassesdetail.asp?ID=5017,NULL,NULL,Polished Black,37,1,NULL,NULL,NULL,NULL
1269,White Chrome - Crystal Black/Ice Iridium,2017-06-15 18:12:49,2017-06-15 22:12:49,NULL,2,649,12-634,$180,http://www.o-review.com/glassesdetail.asp?ID=123,2004,NULL,White Chrome - Crystal Black,42,1,NULL,NULL,http://www.o-review.com/images/Jackets/Montoya_Splice.jpg,http://www.o-review.com/images/Jackets/small/Montoya_Splice.jpg
1270,Black/Black Iridium,2017-06-15 18:13:01,2017-06-15 22:13:01,NULL,2,480,05-433,None,http://www.o-review.com/glassesdetail.asp?ID=2361,1993,2000,Black (long earsocks),7,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire_BlackLong_Black.jpg,http://www.o-review.com/images/Wire/small/SquareWire_BlackLong_Black.jpg
1271,Topaz Tortoise/Dark Bronze,2017-06-15 18:13:04,2017-06-15 22:13:03,NULL,2,92,OO9093-05,$120,http://www.o-review.com/glassesdetail.asp?ID=5021,NULL,NULL,Topaz Tortoise,17,1,NULL,NULL,NULL,NULL
1272,Black/Black Iridium,2017-06-15 18:13:10,2017-06-15 22:13:10,NULL,2,650,04-550,$150,http://www.o-review.com/glassesdetail.asp?ID=98,2001,2003,Black,7,1,NULL,NULL,http://www.o-review.com/images/Jackets/Scar_Black_Black.jpg,http://www.o-review.com/images/Jackets/small/Scar_Black_Black.jpg
1273,Gold/Gold Iridium,2017-06-15 18:13:19,2017-06-15 22:13:18,NULL,2,480,05-431,None,http://www.o-review.com/glassesdetail.asp?ID=1168,1993,2000,Gold (long earsocks),34,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire_GoldLong_Gold.jpg,http://www.o-review.com/images/Wire/small/SquareWire_GoldLong_Gold.jpg
1274,10W40/Black Iridium Polarized,2017-06-15 18:13:26,2017-06-15 22:13:26,NULL,2,607,04-226,$145,http://www.o-review.com/glassesdetail.asp?ID=202,NULL,NULL,10W40,8,1,NULL,NULL,NULL,NULL
1275,Black Chrome/Black Iridium,2017-06-15 18:13:30,2017-06-15 22:13:29,NULL,2,650,04-555,$175,http://www.o-review.com/glassesdetail.asp?ID=99,2001,2003,Black Chrome,7,1,NULL,NULL,http://www.o-review.com/images/Jackets/Scar_Chrome_Black.jpg,http://www.o-review.com/images/Jackets/small/Scar_Chrome_Black.jpg
1276,Light/Black Iridium,2017-06-15 18:13:37,2017-06-15 22:13:36,NULL,2,480,05-430,None,http://www.o-review.com/glassesdetail.asp?ID=615,1993,2000,Light (long earsocks),7,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire_LightLong_Black.jpg,http://www.o-review.com/images/Wire/small/SquareWire_LightLong_Black.jpg
1277,Black/Black Iridium,2017-06-15 18:13:43,2017-06-15 22:13:43,NULL,2,607,04-220,$85,http://www.o-review.com/glassesdetail.asp?ID=813,NULL,NULL,Black,7,1,NULL,NULL,NULL,NULL
1278,Butterscotch/24K Gold Iridium,2017-06-15 18:13:49,2017-06-15 22:13:48,NULL,2,650,04-552,$150,http://www.o-review.com/glassesdetail.asp?ID=100,2001,2002,Butterscotch,3,1,NULL,NULL,http://www.o-review.com/images/Jackets/Scar_Butterscotch_24KGold.jpg,http://www.o-review.com/images/Jackets/small/Scar_Butterscotch_24KGold.jpg
1279,Black/Grey,2017-06-15 18:14:02,2017-06-15 22:14:01,NULL,2,607,04-225,$75,http://www.o-review.com/glassesdetail.asp?ID=814,NULL,NULL,Black,37,1,NULL,NULL,NULL,NULL
1280,Black/Black Iridium,2017-06-15 18:14:04,2017-06-15 22:14:03,NULL,2,481,05-529,None,http://www.o-review.com/glassesdetail.asp?ID=1165,1993,1999,Black,7,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire_Black_Black.jpg,http://www.o-review.com/images/Wire/small/SquareWire_Black_Black.jpg
1281,Electric Blue/Ice Iridium,2017-06-15 18:14:10,2017-06-15 22:14:09,NULL,2,650,04-554,$175,http://www.o-review.com/glassesdetail.asp?ID=101,2001,2003,Electric Blue,42,1,NULL,NULL,http://www.o-review.com/images/Jackets/Scar_ElectricBlue_Ice.jpg,http://www.o-review.com/images/Jackets/small/Scar_ElectricBlue_Ice.jpg
1282,Black/Grey Polarized,2017-06-15 18:14:23,2017-06-15 22:14:22,NULL,2,607,04-227,$135,http://www.o-review.com/glassesdetail.asp?ID=810,NULL,NULL,Black,38,1,NULL,NULL,NULL,NULL
1283,Brushed/VR28,2017-06-15 18:14:25,2017-06-15 22:14:24,NULL,2,481,05-551,None,http://www.o-review.com/glassesdetail.asp?ID=1163,1993,1999,Brushed,70,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire_Brushed_VR28.jpg,http://www.o-review.com/images/Wire/small/SquareWire_Brushed_VR28.jpg
1284,FMJ Red/Black Iridium,2017-06-15 18:14:35,2017-06-15 22:14:34,NULL,2,650,04-553,$175,http://www.o-review.com/glassesdetail.asp?ID=102,2001,2002,FMJ Red,7,1,NULL,NULL,http://www.o-review.com/images/Jackets/Scar_FMJRed_Black.jpg,http://www.o-review.com/images/Jackets/small/Scar_FMJRed_Black.jpg
1285,Black Gold/Gold Iridium Polarized,2017-06-15 18:14:40,2017-06-15 22:14:40,NULL,2,607,04-224,$145,http://www.o-review.com/glassesdetail.asp?ID=811,NULL,NULL,Black Gold,35,1,NULL,NULL,NULL,NULL
1286,Gold/Gold Iridium,2017-06-15 18:14:47,2017-06-15 22:14:47,NULL,2,481,05-508,None,http://www.o-review.com/glassesdetail.asp?ID=1166,1993,1999,Gold,34,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire_Gold_Gold.jpg,http://www.o-review.com/images/Wire/small/SquareWire_Gold_Gold.jpg
1287,FMJ+/G30 Iridium,2017-06-15 18:14:55,2017-06-15 22:14:54,NULL,2,650,04-556,$175,http://www.o-review.com/glassesdetail.asp?ID=103,2001,2002,FMJ+,29,1,NULL,NULL,http://www.o-review.com/images/Jackets/Scar_FMJ_G30.jpg,http://www.o-review.com/images/Jackets/small/Scar_FMJ_G30.jpg
1288,FMJ 5.56/Black Iridium,2017-06-15 18:15:00,2017-06-15 22:14:59,NULL,2,607,04-223,$120,http://www.o-review.com/glassesdetail.asp?ID=815,NULL,NULL,FMJ 5.56,7,1,NULL,NULL,NULL,NULL
1289,Midnight/Fire Iridium,2017-06-15 18:15:10,2017-06-15 22:15:09,NULL,2,650,04-557,$155,http://www.o-review.com/glassesdetail.asp?ID=104,2001,2003,Midnight,23,1,NULL,NULL,http://www.o-review.com/images/Jackets/Scar_Midnight_24Gold.jpg,http://www.o-review.com/images/Jackets/small/Scar_Midnight_24Gold.jpg
1290,Leather Wrap/Gold Iridium,2017-06-15 18:15:10,2017-06-15 22:15:10,NULL,2,481,05-552,$180,http://www.o-review.com/glassesdetail.asp?ID=209,1993,2000,Leather Wrap,34,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire_Leather_Gold.jpg,http://www.o-review.com/images/Wire/small/SquareWire_Leather_Gold.jpg
1291,Lava/VR28,2017-06-15 18:15:25,2017-06-15 22:15:24,NULL,2,607,04-222,$75,http://www.o-review.com/glassesdetail.asp?ID=203,NULL,NULL,Lava,70,1,NULL,NULL,NULL,NULL
1292,Persimmon/Black Iridium,2017-06-15 18:15:29,2017-06-15 22:15:28,NULL,2,650,04-551,$150,http://www.o-review.com/glassesdetail.asp?ID=105,2001,2002,Persimmon,7,1,NULL,NULL,http://www.o-review.com/images/Jackets/Scar_Persimmon_Black.jpg,http://www.o-review.com/images/Jackets/small/Scar_Persimmon_Black.jpg
1293,Light/Black Iridium,2017-06-15 18:15:29,2017-06-15 22:15:28,NULL,2,481,05-507,None,http://www.o-review.com/glassesdetail.asp?ID=1167,1993,1999,Light,7,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire_Light_Black.jpg,http://www.o-review.com/images/Wire/small/SquareWire_Light_Black.jpg
1294,Platinum/VR28 Black Iridium,2017-06-15 18:15:51,2017-06-15 22:15:51,NULL,2,650,04-558,$175,http://www.o-review.com/glassesdetail.asp?ID=106,2001,2003,Platinum,71,1,NULL,NULL,http://www.o-review.com/images/Jackets/Scar_Platinum_VR28.jpg,http://www.o-review.com/images/Jackets/small/Scar_Platinum_VR28.jpg
1295,Tortoise/Gold Iridium,2017-06-15 18:15:53,2017-06-15 22:15:53,NULL,2,607,04-221,$85,http://www.o-review.com/glassesdetail.asp?ID=812,NULL,NULL,Tortoise,34,1,NULL,NULL,NULL,NULL
1296,Polished/Gold Iridium,2017-06-15 18:15:55,2017-06-15 22:15:54,NULL,2,481,05-530,None,http://www.o-review.com/glassesdetail.asp?ID=1164,1993,1999,Polished,34,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire_Polished_Gold.jpg,http://www.o-review.com/images/Wire/small/SquareWire_Polished_Gold.jpg
1297,Black Ink/Black Iridium,2017-06-15 18:16:04,2017-06-15 22:16:03,NULL,2,608,OO9128-07,$110,http://www.o-review.com/glassesdetail.asp?ID=5319,NULL,NULL,Black Ink,7,1,NULL,NULL,NULL,NULL
1298,Brown Smoke/Tungsten Iridium Polarized,2017-06-15 18:16:13,2017-06-15 22:16:13,NULL,2,608,OO9128-04,$170,http://www.o-review.com/glassesdetail.asp?ID=5306,NULL,NULL,Brown Smoke,67,1,NULL,NULL,NULL,NULL
1299,Polished/Gold Iridium Polarized,2017-06-15 18:16:14,2017-06-15 22:16:14,NULL,2,481,05-531,None,http://www.o-review.com/glassesdetail.asp?ID=2371,1993,2000,Polished,35,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWire_Polished_Gold.jpg,http://www.o-review.com/images/Wire/small/SquareWire_Polished_Gold.jpg
1300,Brown Tortoise/Gold Iridium,2017-06-15 18:16:20,2017-06-15 22:16:19,NULL,2,608,OO9128-02,$110,http://www.o-review.com/glassesdetail.asp?ID=5309,NULL,NULL,Brown Tortoise,34,1,NULL,NULL,NULL,NULL
1301,Dark Grey/Black Iridium Polarized,2017-06-15 18:16:28,2017-06-15 22:16:27,NULL,2,608,OO9128-08,$200,http://www.o-review.com/glassesdetail.asp?ID=5564,NULL,NULL,Dark Grey,8,1,NULL,NULL,NULL,NULL
1302,Matte Black/Warm Grey,2017-06-15 18:16:35,2017-06-15 22:16:35,NULL,2,608,OO9128-01,$100,http://www.o-review.com/glassesdetail.asp?ID=5308,NULL,NULL,Matte Black,85,1,NULL,NULL,NULL,NULL
1303,Brown/Dark Bronze,2017-06-15 18:16:38,2017-06-15 22:16:37,NULL,2,482,05-770,$135,http://www.o-review.com/glassesdetail.asp?ID=4678,February 2009,April 2011,Brown,17,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWhisker_Brown_DarkBronze.jpg,http://www.o-review.com/images/Wire/small/SquareWhisker_Brown_DarkBronze.jpg
1304,Polished Black/Black Iridium Polarized,2017-06-15 18:16:42,2017-06-15 22:16:41,NULL,2,608,OO9128-05,$170,http://www.o-review.com/glassesdetail.asp?ID=5307,NULL,NULL,Polished Black,8,1,NULL,NULL,NULL,NULL
1305,Polished Black/Deep Blue Polarized,2017-06-15 18:16:48,2017-06-15 22:16:47,NULL,2,608,OO9128-12,$180,http://www.o-review.com/glassesdetail.asp?ID=5748,NULL,NULL,Polished Black,19,1,NULL,NULL,NULL,NULL
1306,Polished Black/Shallow Blue Polarized,2017-06-15 18:16:55,2017-06-15 22:16:55,NULL,2,608,OO9128-10,$180,http://www.o-review.com/glassesdetail.asp?ID=5746,NULL,NULL,Polished Black,61,1,NULL,NULL,NULL,NULL
1307,Brown/Tungsten Iridium Polarized,2017-06-15 18:16:59,2017-06-15 22:16:58,NULL,2,482,12-970,$200,http://www.o-review.com/glassesdetail.asp?ID=4680,February 2009,NULL,Brown,67,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWhisker_Brown_TungstenPolarized.jpg,http://www.o-review.com/images/Wire/small/SquareWhisker_Brown_TungstenPolarized.jpg
1308,Polished Black/VR28 Polarized,2017-06-15 18:17:01,2017-06-15 22:17:01,NULL,2,608,OO9128-11,$170,http://www.o-review.com/glassesdetail.asp?ID=5747,NULL,NULL,Polished Black,77,1,NULL,NULL,NULL,NULL
1309,Polished Rootbeer/Bronze Polarized,2017-06-15 18:17:07,2017-06-15 22:17:07,NULL,2,608,OO9128-09,$170,http://www.o-review.com/glassesdetail.asp?ID=5745,NULL,NULL,Polished Rootbeer,14,1,NULL,NULL,NULL,NULL
1310,White Chrome/Fire Iridium,2017-06-15 18:17:14,2017-06-15 22:17:13,NULL,2,608,OO9128-03,$150,http://www.o-review.com/glassesdetail.asp?ID=5310,NULL,NULL,White Chrome,23,1,NULL,NULL,NULL,NULL
1311,Pewter/Black Iridium,2017-06-15 18:17:18,2017-06-15 22:17:18,NULL,2,482,05-769,$145,http://www.o-review.com/glassesdetail.asp?ID=4677,February 2009,April 2011,Pewter,7,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWhisker_Pewter_Black.jpg,http://www.o-review.com/images/Wire/small/SquareWhisker_Pewter_Black.jpg
1312,Black/Grey Marble/Black Iridium Polarized,2017-06-15 18:17:38,2017-06-15 22:17:37,NULL,2,192,12-951,$235,http://www.o-review.com/glassesdetail.asp?ID=4003,NULL,NULL,Black/Grey Marble,8,1,NULL,NULL,NULL,NULL
1313,Pewter/Black Iridium Polarized,2017-06-15 18:17:40,2017-06-15 22:17:40,NULL,2,482,24-197,$220,http://www.o-review.com/glassesdetail.asp?ID=5083,February 2010,April 2011,Pewter,8,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWhisker_PewterDucati_BlackPolarized.jpg,http://www.o-review.com/images/Wire/small/SquareWhisker_PewterDucati_BlackPolarized.jpg
1314,Black/Grey Marble Limited/Black Iridium Polarized,2017-06-15 18:17:57,2017-06-15 22:17:56,NULL,2,192,12-951L1,$235,http://www.o-review.com/glassesdetail.asp?ID=4021,NULL,NULL,Black/Grey Marble Limited,8,1,NULL,NULL,NULL,NULL
1315,Pewter/Emerald Iridium Polarized,2017-06-15 18:18:01,2017-06-15 22:18:00,NULL,2,482,24-194,$200,http://www.o-review.com/glassesdetail.asp?ID=5394,0,0,Pewter,21,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWhisker_Pewter_EmeraldPolarized.jpg,http://www.o-review.com/images/Wire/small/SquareWhisker_Pewter_EmeraldPolarized.jpg
1316,Brown Tortoise/Bronze,2017-06-15 18:18:14,2017-06-15 22:18:13,NULL,2,192,26-226,$160,http://www.o-review.com/glassesdetail.asp?ID=5643,NULL,NULL,Brown Tortoise,13,1,NULL,NULL,NULL,NULL
1317,Platinum/Bronze Polarized,2017-06-15 18:18:19,2017-06-15 22:18:19,NULL,2,482,12-969,$190,http://www.o-review.com/glassesdetail.asp?ID=4679,February 2009,NULL,Platinum,14,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWhisker_Platinum_BronzePolarized.jpg,http://www.o-review.com/images/Wire/small/SquareWhisker_Platinum_BronzePolarized.jpg
1318,Brown Tortoise/Tungsten Iridium Polarized,2017-06-15 18:18:30,2017-06-15 22:18:29,NULL,2,192,12-950,$235,http://www.o-review.com/glassesdetail.asp?ID=4002,NULL,NULL,Brown Tortoise,67,1,NULL,NULL,NULL,NULL
1319,Polished Black/Black Iridium Polarized,2017-06-15 18:18:39,2017-06-15 22:18:38,NULL,2,482,12-971,$200,http://www.o-review.com/glassesdetail.asp?ID=4681,February 2009,April 2011,Polished Black,8,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWhisker_PolishedBlack_BlackPolarized.jpg,http://www.o-review.com/images/Wire/small/SquareWhisker_PolishedBlack_BlackPolarized.jpg
1320,Iron Wood/Grey,2017-06-15 18:18:49,2017-06-15 22:18:49,NULL,2,192,26-225,$160,http://www.o-review.com/glassesdetail.asp?ID=5642,NULL,NULL,Iron Wood,37,1,NULL,NULL,NULL,NULL
1321,Polished Chrome/Warm Grey,2017-06-15 18:18:59,2017-06-15 22:18:58,NULL,2,482,05-768,$135,http://www.o-review.com/glassesdetail.asp?ID=4676,February 2009,NULL,Polished Chrome,85,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWhisker_PolishedChrome_WarmGrey.jpg,http://www.o-review.com/images/Wire/small/SquareWhisker_PolishedChrome_WarmGrey.jpg
1322,Iron Wood/VR28 Black Iridium Polarized,2017-06-15 18:19:11,2017-06-15 22:19:10,NULL,2,192,12-949,$235,http://www.o-review.com/glassesdetail.asp?ID=4001,NULL,NULL,Iron Wood,72,1,NULL,NULL,NULL,NULL
1323,Ti Burnt Copper/VR28 Black Iridium Polarized,2017-06-15 18:19:16,2017-06-15 22:19:15,NULL,2,482,12-963,$275,http://www.o-review.com/glassesdetail.asp?ID=4695,May 2009,NULL,Ti Burnt Copper,72,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWhisker_TiBurntCopper_VR28BlackPolarized.jpg,http://www.o-review.com/images/Wire/small/SquareWhisker_TiBurntCopper_VR28BlackPolarized.jpg
1324,Black Chrome/Black Iridium,2017-06-15 18:19:17,2017-06-15 22:19:16,NULL,2,652,,$130,http://www.o-review.com/glassesdetail.asp?ID=797,NULL,NULL,Black Chrome,7,1,NULL,NULL,http://www.o-review.com/images/Jackets/RacingJacket_BlackChrome_Black.jpg,http://www.o-review.com/images/Jackets/small/RacingJacket_BlackChrome_Black.jpg
1325,Dark Brown/Bronze Polarized,2017-06-15 18:19:26,2017-06-15 22:19:26,NULL,2,96,OO2013-01,$220,http://www.o-review.com/glassesdetail.asp?ID=5156,NULL,NULL,Dark Brown,14,1,NULL,NULL,NULL,NULL
1326,Ghost/Grey,2017-06-15 18:19:32,2017-06-15 22:19:32,NULL,2,96,OO2013-06,$170,http://www.o-review.com/glassesdetail.asp?ID=5155,NULL,NULL,Ghost,37,1,NULL,NULL,NULL,NULL
1327,Black Chrome/Blue Iridium,2017-06-15 18:19:34,2017-06-15 22:19:34,NULL,2,652,,$130,http://www.o-review.com/glassesdetail.asp?ID=794,NULL,NULL,Black Chrome,11,1,NULL,NULL,http://www.o-review.com/images/Jackets/RacingJacket_BlackChrome_Blue.jpg,http://www.o-review.com/images/Jackets/small/RacingJacket_BlackChrome_Blue.jpg
1328,Ti Matte Black/Black Iridium Polarized,2017-06-15 18:19:39,2017-06-15 22:19:38,NULL,2,482,12-964,$275,http://www.o-review.com/glassesdetail.asp?ID=4696,May 2009,NULL,Ti Matte Black,8,1,NULL,NULL,http://www.o-review.com/images/Wire/SquareWhisker_TiMatteBlack_BlackPolarized.jpg,http://www.o-review.com/images/Wire/small/SquareWhisker_TiMatteBlack_BlackPolarized.jpg
1329,Ghost/Grey Polarized,2017-06-15 18:19:39,2017-06-15 22:19:38,NULL,2,96,OO2013-03,$220,http://www.o-review.com/glassesdetail.asp?ID=5157,NULL,NULL,Ghost,38,1,NULL,NULL,NULL,NULL
